date,symbol,market_cap,free_float,shares_outstanding,avg_daily_traded_value
2026-08-30,SRF,767661899776.0,141110074.0,296406025.0,584364316.8000001
2026-08-30,SBICARD,610050768896.0,299074153.0,951643098.0,1413701154.5
2026-08-30,COLPAL,496890544128.0,132122461.0,271985634.0,636157637.3000001
2026-08-30,IRCTC,388519985152.0,300604391.0,800000000.0,373432311.45
2026-08-30,ATGL,700029075456.0,222370601.0,1099810083.0,861017737.0
2026-08-30,INDUSINDBK,774465716224.0,704360308.0,779140552.0,961293424.0
2026-08-30,ICICIPRULI,733574725632.0,377479016.0,1449752494.0,520722576.0
2026-08-30,HEROMOTOCO,1120790773760.0,129476094.0,200141207.0,2285382400.0
2026-08-30,DABUR,684747390976.0,589911614.0,1773957026.0,553593094.0
2026-08-30,SWIGGY,734910480384.0,1436691886.0,2620001701.0,3228381931.5
2026-08-30,HAVELLS,767445172224.0,246631118.0,627561652.0,874238981.0000001
2026-08-30,ICICIGI,780373000192.0,243274175.0,499598582.0,1799806690.0
2026-08-30,LICI,5338297794560.0,1265126040.0,12649995402.0,4549523764.0
2026-08-30,BAJAJHFL,707936256000.0,1100466111.0,8328662006.0,223806360.0
2026-08-30,JSWENERGY,980869251072.0,584176536.0,1832372944.0,809833422.6999999
2026-08-30,NAUKRI,877036699648.0,310894606.0,647737579.0,1760220310.0
2026-08-30,INFRATEL,,,,
2026-08-30,INGVYSYABK,,,,
2026-08-30,SUNDARMFIN,504179228672.0,71474224.0,110217571.0,161773656.0
2026-08-30,IOC,1936021913600.0,3402718668.0,14121238383.0,992602491.9
2026-08-30,DMART,2498493415424.0,149472309.0,652245977.0,1996822829.2
2026-08-30,SBILIFE,1766998933504.0,414914638.0,1003349572.0,1429948039.3
2026-08-30,HDFCLIFE,1190282919936.0,1001206820.0,2172049147.0,1303131944.0
2026-08-30,BAJAJHLDNG,1262068432896.0,42748950.0,111293510.0,568621620.0
2026-08-30,NESTLEIND,2804926119936.0,702369208.0,1928314320.0,2148813668.4
2026-08-30,ADANITRANS,,,,
2026-08-30,LTI,,,,
2026-08-30,ADANIGREEN,2159448031232.0,334607364.0,1647176155.0,1624968768.0
2026-08-30,TATACONSUM,1029970329600.0,640038664.0,989690012.0,1114813450.5
2026-08-30,ADANIENT,4508691202048.0,352889373.0,1352949234.0,3595132188.0
2026-08-30,CHOLAFIN,1591039492096.0,433133095.0,854065996.0,1449090297.2
2026-08-30,ZOMATO,,,,
2026-08-30,MINDTREE,,,,
2026-08-30,HAL,3250982223872.0,183217599.0,668775000.0,3675949236.7000003
2026-08-30,MOTHERSON,1743971811328.0,4409847766.0,10531231231.0,1642487868.0
2026-08-30,ABB,1591219978240.0,51771377.0,211908375.0,1154921745.0
2026-08-30,VBL,1400340348928.0,1301947255.0,3382464894.0,3215012634.0
2026-08-30,CANBK,1164218204160.0,3088193928.0,9070651260.0,1375900576.85
2026-08-30,TVSMOTOR,2045468868608.0,229128274.0,474960087.0,3479304374.2
2026-08-30,TRENT,1545307160576.0,302091467.0,533232301.0,1565418456.0
2026-08-30,SHRIRAMFIN,2557457989632.0,1767008667.0,2352983543.0,3085723229.7000003
2026-08-30,ADANIPOWER,4100504682496.0,5437512519.0,19284694705.0,4237150304.2
2026-08-30,IRFC,1096447688704.0,2241987633.0,13068506000.0,632567993.3000001
2026-08-30,JIOFIN,1574188875776.0,3474044017.0,6603141623.0,1976345059.2
2026-08-30,LODHA,1272633098240.0,448782594.0,998927026.0,1626658488.0
2026-08-30,INDHOTEL,1021882269696.0,853114790.0,1446605715.0,846092719.1999999
2026-08-30,HYUNDAI,1842030706688.0,133691612.0,812541100.0,1689232380.0
2026-08-30,CGPOWER,1400575098880.0,684854505.0,1575450059.0,1958029612.0
2026-08-30,MAXHEALTH,986999685120.0,699039362.0,973276486.0,1753735863.2
2026-08-30,MAZDOCK,1030635913216.0,75763720.0,403380000.0,2021676965.0
2026-08-30,SOLARINDS,1845997207552.0,23873086.0,90490055.0,2565320400.0
2026-08-30,ENRIN,1154756378624.0,275882994.0,356120505.0,1360977586.8
2026-08-30,TATACAP,1584211558400.0,516460527.0,4216692745.0,387799418.5
2026-08-30,TMCV,1717243084800.0,2029259173.0,3682700304.0,3179941709.7000003
