date,symbol,dividend,split
2004-07-05,GRASIM,2.788911,0.0
2005-06-29,GRASIM,3.187327,0.0
2006-08-09,GRASIM,3.984158,0.0
2007-03-15,GRASIM,5.478217,0.0
2008-07-22,GRASIM,5.976237,0.0
2009-07-24,GRASIM,5.976237,0.0
2010-08-10,GRASIM,5.976237,0.0
2011-09-06,GRASIM,3.984158,0.0
2012-08-27,GRASIM,4.482178,0.0
2013-07-31,GRASIM,4.482178,0.0
2014-08-20,GRASIM,4.183366,0.0
2015-09-03,GRASIM,3.585742,0.0
2016-09-07,GRASIM,4.482178,0.0
2016-10-06,GRASIM,0.0,5.0
2017-09-08,GRASIM,5.478217,0.0
2018-08-31,GRASIM,6.175445,0.0
2019-08-08,GRASIM,6.972277,0.0
2020-08-26,GRASIM,3.984158,0.0
2021-08-12,GRASIM,8.964356,0.0
2022-08-11,GRASIM,9.960395,0.0
2023-08-11,GRASIM,9.960395,0.0
2024-08-06,GRASIM,10.0,0.0
2025-08-12,GRASIM,10.0,0.0
2026-08-07,GRASIM,10.0,0.0
2008-10-01,UBL,0.15,
2009-09-07,UBL,0.15,
2010-08-17,UBL,0.36,
2011-12-16,UBL,0.6,
2012-09-21,UBL,0.7,
2013-09-06,UBL,0.7,
2014-09-01,UBL,0.9,
2015-09-14,UBL,1.0,
2016-08-30,UBL,1.15,
2017-09-14,UBL,1.15,
2018-09-07,UBL,2.0,
2019-08-13,UBL,2.5,
2020-08-18,UBL,2.5,
2021-07-01,UBL,0.5,
2022-08-02,UBL,10.5,
2023-08-03,UBL,7.5,
2024-07-25,UBL,10.0,
2025-07-31,UBL,10.0,
2026-08-07,UBL,10.0,
2003-08-11,DIVISLAB,0.3,0.0
2004-07-29,DIVISLAB,0.4,0.0
2005-08-11,DIVISLAB,0.4,0.0
2006-08-23,DIVISLAB,0.5,0.0
2007-03-23,DIVISLAB,0.5,0.0
2007-08-03,DIVISLAB,0.0,5.0
2008-06-26,DIVISLAB,1.0,0.0
2009-06-15,DIVISLAB,1.5,0.0
2009-07-30,DIVISLAB,0.0,2.0
2010-07-02,DIVISLAB,3.0,0.0
2011-06-16,DIVISLAB,5.0,0.0
2012-07-26,DIVISLAB,6.5,0.0
2013-07-25,DIVISLAB,7.5,0.0
2014-07-31,DIVISLAB,10.0,0.0
2015-08-06,DIVISLAB,10.0,0.0
2015-09-23,DIVISLAB,0.0,2.0
2016-03-17,DIVISLAB,10.0,0.0
2017-09-15,DIVISLAB,10.0,0.0
2018-08-31,DIVISLAB,10.0,0.0
2019-08-14,DIVISLAB,16.0,0.0
2020-02-25,DIVISLAB,16.0,0.0
2021-08-17,DIVISLAB,20.0,0.0
2022-08-11,DIVISLAB,30.0,0.0
2023-08-11,DIVISLAB,30.0,0.0
2024-08-02,DIVISLAB,30.0,0.0
2025-07-25,DIVISLAB,30.0,0.0
2026-07-24,DIVISLAB,30.0,0.0
1996-06-17,TATAPOWER,0.337756,0.0
1997-07-09,TATAPOWER,0.337756,0.0
1998-06-15,TATAPOWER,0.357056,0.0
