date,dd
2014-07-03,-0.0010801176171887361
2014-07-04,0.0
2014-07-07,0.0
2014-07-08,-0.04369770525660421
2014-07-09,-0.059113457335504216
2014-07-10,-0.05204211270259995
2014-07-11,-0.08097875274744426
2014-07-14,-0.08236255916928936
2014-07-15,-0.06207695537652458
2014-07-16,-0.04550581569430334
2014-07-17,-0.0329772447265122
2014-07-18,-0.034904812470025304
2014-07-21,-0.02550831598548242
2014-07-22,-0.02155170142827645
2014-07-23,-0.024623260893061993
2014-07-24,-0.022495769128977328
2014-07-25,-0.0399070674712656
2014-07-28,-0.044789118171666864
2014-07-30,-0.040973924143362206
2014-07-31,-0.04000928183924235
2014-08-01,-0.04879828975090583
2014-08-04,-0.03731960085040875
2014-08-05,-0.026949711868450188
2014-08-06,-0.0286025396952978
2014-08-07,-0.0341768497941044
2014-08-08,-0.056852681671720084
2014-08-11,-0.049603549462465035
2014-08-12,-0.042972360151365074
2014-08-13,-0.06341286540056734
2014-08-14,-0.05052486455791794
2014-08-18,-0.028404716483638626
2014-08-19,-0.016718495554787216
2014-08-20,-0.008214064027055157
2014-08-21,-0.005418403411975858
2014-08-22,-0.005329448106432655
2014-08-25,-0.011414712242786562
2014-08-26,-0.017750257259653734
2014-08-27,-0.008525117058532428
2014-08-28,-0.009605352997223093
2014-09-01,0.0
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,-0.0027782451861223523
2014-09-05,0.0
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,0.0
2014-09-15,0.0
2014-09-16,-0.041654647737727535
2014-09-17,-0.03752997258193558
2014-09-18,-0.013582781180472514
2014-09-19,-0.011617551120412073
2014-09-22,-0.0065690623331728926
2014-09-23,-0.031022474487800822
2014-09-24,-0.04731949777487088
2014-09-25,-0.07702536915827807
2014-09-26,-0.06952680086403151
2014-09-29,-0.05427862214561119
2014-09-30,-0.053448628351151606
2014-10-01,-0.05728940683931372
2014-10-07,-0.06726673702740038
2014-10-08,-0.06823045510591252
2014-10-09,-0.05053288683714208
2014-10-10,-0.06505085871954186
2014-10-13,-0.05983063375509623
2014-10-14,-0.0627361271849699
2014-10-16,-0.08914604976914386
2014-10-17,-0.08787317787270899
2014-10-20,-0.07940811091870481
2014-10-21,-0.07271908000619998
2014-10-22,-0.06004237788651612
2014-10-23,-0.04979536807879792
2014-10-27,-0.05265650341565786
2014-10-28,-0.04732736244335234
2014-10-29,-0.040332705213452225
2014-10-30,-0.03471960243798389
2014-10-31,-0.022164115962752806
2014-11-03,-0.007626736617424856
2014-11-05,-0.003394202683656311
2014-11-07,-0.003699643340451919
2014-11-10,-0.0018310773897627364
2014-11-11,0.0
2014-11-12,0.0
2014-11-13,-0.0030039741059363356
2014-11-14,0.0
2014-11-17,0.0
2014-11-18,0.0
2014-11-19,-0.010118639895946524
2014-11-20,-0.013666045744724853
2014-11-21,-0.014238634784800253
2014-11-24,-0.014223660697651686
2014-11-25,-0.03520482737657127
2014-11-26,-0.025103949808642834
2014-11-27,-0.020115580094906438
2014-11-28,-0.016056584364801396
2014-12-01,-0.022712161303236278
2014-12-02,-0.01503467031323269
2014-12-03,0.0
2014-12-04,0.0
2014-12-05,-0.000686047729732242
2014-12-08,-0.012075842831678951
2014-12-09,-0.030027430152221313
2014-12-10,-0.01997928735168386
2014-12-11,-0.026615102162578896
2014-12-12,-0.04212126565723506
2014-12-15,-0.04691348893990932
2014-12-16,-0.08152082322292253
2014-12-17,-0.0912318715203373
2014-12-18,-0.060750389642004965
2014-12-19,-0.06215926405754191
2014-12-22,-0.05456662096367004
2014-12-23,-0.059360268617333456
2014-12-24,-0.05735280968159018
2014-12-26,-0.05407601846810861
2014-12-29,-0.0452550356769299
2014-12-30,-0.03994232720503377
2014-12-31,-0.029705757558998624
2015-01-01,-0.0171696975858181
2015-01-02,-0.006873337792117629
2015-01-05,-0.004332310551400154
2015-01-06,-0.03532537811019687
2015-01-07,-0.03514255658748633
2015-01-08,-0.01644473011914993
2015-01-09,-0.016000027631429714
2015-01-12,-0.0073689574622184395
2015-01-13,-0.008380027127075418
2015-01-14,-0.012752091852751835
2015-01-15,-0.0009602136369813996
2015-01-16,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,-0.0019124255589823003
2015-01-22,0.0
2015-01-23,-0.0046706724953546885
2015-01-27,0.0
2015-01-28,-0.0023300483963817342
2015-01-29,0.0
2015-01-30,-0.0020645020007539205
2015-02-02,0.0
2015-02-03,-0.0014250026044904107
2015-02-04,-0.0022222548534839293
2015-02-05,-0.01601278718928223
2015-02-06,-0.031856298531222405
2015-02-09,-0.04717247755564047
2015-02-10,-0.04607933196881986
2015-02-11,-0.03071464640123822
2015-02-12,-0.01690607356644691
2015-02-13,-0.011502362201830207
2015-02-16,-0.012025231287903115
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-23,-0.0071591568391869975
2015-02-24,-0.012791467420473546
2015-02-25,-0.016344699518220485
2015-02-26,-0.024538320035759842
2015-02-27,-0.007065931678671644
2015-02-28,-0.010994823874718618
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,-0.012588651405897378
2015-03-05,-0.004452394582114327
2015-03-09,-0.015234932761237996
2015-03-10,-0.016289278492655712
2015-03-11,-0.020544323080830207
2015-03-12,-0.008064440628050562
2015-03-13,-0.0240401127219666
2015-03-16,-0.031795591147511404
2015-03-17,-0.027163192413509285
2015-03-18,-0.02447796859221274
2015-03-19,-0.03145919869555669
2015-03-20,-0.05239087884508642
2015-03-23,-0.06378801577790871
2015-03-24,-0.06961481289511451
2015-03-25,-0.06961481289511451
2015-03-26,-0.06961481289511451
2015-03-27,-0.06961481289511451
2015-03-30,-0.06961481289511451
2015-03-31,-0.07101039067577175
2015-04-01,-0.04853091692896949
2015-04-06,-0.033007101857546295
2015-04-07,-0.021618162412953446
2015-04-08,-0.00885351112994126
2015-04-09,-0.003283645579308714
2015-04-10,0.0
2015-04-13,0.0
2015-04-15,-0.0037966124894152076
2015-04-16,-0.014484664104589151
2015-04-17,-0.025294029083666736
2015-04-20,-0.048450979075512435
2015-04-21,-0.05048780891730098
2015-04-22,-0.04919075085626712
2015-04-23,-0.04976391051742013
2015-04-24,-0.07732007276400699
2015-04-27,-0.10715055607461899
2015-04-28,-0.10715055607461899
2015-04-29,-0.10715055607461899
2015-04-30,-0.10715055607461899
2015-05-04,-0.10715055607461899
2015-05-05,-0.10848983024050707
2015-05-06,-0.1383803448445564
2015-05-07,-0.1572734080065089
2015-05-08,-0.1572734080065089
2015-05-11,-0.1572734080065089
