date,equity
2017-05-25,2.731662175135509
2017-05-26,2.7802728093804596
2017-05-29,2.734762298435041
2017-05-30,2.7417413254921703
2017-05-31,2.7686547611964536
2017-06-01,2.7935889741246
2017-06-02,2.810318577902696
2017-06-05,2.8244620718858844
2017-06-06,2.8029049111567006
2017-06-07,2.821907078244706
2017-06-08,2.8337414207210436
2017-06-09,2.843403432311997
2017-06-12,2.831593170895954
2017-06-13,2.8388181924079605
2017-06-14,2.8455086484742043
2017-06-15,2.856765419750784
2017-06-16,2.869590196536463
2017-06-19,2.8686016604861115
2017-06-20,2.8748647980823594
2017-06-21,2.8824102172832045
2017-06-22,2.865146148900353
2017-06-23,2.8233082322617578
2017-06-27,2.7845272235120446
2017-06-28,2.795574490524923
2017-06-29,2.818466197663644
2017-06-30,2.83276676305778
2017-07-03,2.866060837186386
2017-07-04,2.873426873325983
2017-07-05,2.9085162886329496
2017-07-06,2.920959406112628
2017-07-07,2.933680016326173
2017-07-10,2.9463201394877094
2017-07-11,2.9291124081472284
2017-07-12,2.950542076986061
2017-07-13,2.958634640683724
2017-07-14,2.9445824413167037
2017-07-17,2.947011570375571
2017-07-18,2.930300690620337
2017-07-19,2.9665220703996247
2017-07-20,2.973507584895325
2017-07-21,2.9785053749924155
2017-07-24,2.9852398908908717
2017-07-25,2.9912573115181167
2017-07-26,3.007089280160974
2017-07-27,2.9810741225515374
2017-07-28,2.989942734468151
2017-07-31,2.992959851944898
2017-08-01,2.9877889027998723
2017-08-02,2.984964173808997
2017-08-03,2.9524537427754853
2017-08-04,2.9583846447615816
2017-08-07,2.9854521027230376
2017-08-08,2.9384229746508095
2017-08-09,2.885761324244674
2017-08-10,2.7749244156182193
2017-08-11,2.7622327647205718
2017-08-14,2.7622327647205718
2017-08-16,2.758089415573491
2017-08-17,2.77710815891813
2017-08-18,2.7620761235894182
2017-08-21,2.733883313059396
2017-08-22,2.7176451331594564
2017-08-23,2.752426909355051
2017-08-24,2.773566103005174
2017-08-28,2.8039159779783636
2017-08-29,2.7750494329461883
2017-08-30,2.816501682506011
2017-08-31,2.841316334501777
2017-09-01,2.873043328219713
2017-09-04,2.8535822922928284
2017-09-05,2.886823784112171
2017-09-06,2.901625092557027
2017-09-07,2.924344400486245
2017-09-08,2.9188211230677226
2017-09-11,2.9370440738283654
2017-09-12,2.9654737449976105
2017-09-13,2.946563161257445
2017-09-14,2.962161531473299
2017-09-15,2.964612450528215
2017-09-18,2.9962443612029697
2017-09-19,3.0156820531268593
2017-09-20,3.0172345240534377
2017-09-21,3.007094148969801
2017-09-22,2.9177412763397013
2017-09-25,2.8592983500135665
2017-09-26,2.8870538606003384
2017-09-27,2.825265399345216
2017-09-28,2.848484054214318
2017-09-29,2.87796622680283
2017-10-03,2.8919484939266344
2017-10-04,2.921168314696932
2017-10-05,2.9512137435358907
2017-10-06,2.9900362147105572
2017-10-09,3.0075997662856766
2017-10-10,3.0360237238266827
2017-10-11,3.004725601775213
2017-10-12,3.041571318123473
2017-10-13,3.046718807345108
2017-10-16,3.054336697169817
2017-10-17,3.0689930356621087
2017-10-18,3.0704328416226274
2017-10-19,3.071887344904874
2017-10-23,3.0866564367780027
2017-10-24,3.1093425060612168
2017-10-25,3.11294111569152
2017-10-26,3.136174116776762
2017-10-27,3.1533485019055028
2017-10-30,3.1921175852039494
2017-10-31,3.2036682962898078
2017-11-01,3.2229369941134904
2017-11-02,3.2401549218208547
2017-11-03,3.254984319404652
2017-11-06,3.273191409434558
2017-11-07,3.224433322271868
2017-11-08,3.192406997703654
2017-11-09,3.2208151658816844
