symbol,valid_from,valid_to,source,source_url,circular_no,notes
AMTEKAUTO,2014-11-28,2015-10-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP28174.pdf,,closed by FAOP30527.pdf
ANDHRABANK,2000-01-01,2018-09-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP38356.pdf,,exclusion without prior introduction in coverage
ANGELONE,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
APLAPOLLO,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
APLLTD,2021-02-26,2022-07-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/52054
APOLLOTYRE,2000-01-01,2025-05-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67382.pdf,NSE/FAOP/67382,exclusion without prior introduction in coverage
ARE&M,2025-02-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66760.pdf,NSE/FAOP/66760,
ARVIND,2000-01-01,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP41670.pdf,NSE/FAOP/41670,exclusion without prior introduction in coverage
ASTRAL,2021-07-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49096.pdf,NSE/FAOP/49096,
ATGL,2024-11-29,2025-08-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/68691
ATUL,2021-10-29,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,closed by NSE/FAOP/65702
AUBANK,2021-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,
BAJAJFINSV,2017-04-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,
BAJAJHLDNG,2025-12-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP72070.zip,NSE/FAOP/72070,
BAJFINANCE,2015-05-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,
BALKRISIND,2017-04-28,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/67710
BALRAMCHIN,2017-04-28,2018-09-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by FAOP38356.pdf
BALRAMCHIN,2021-12-31,2024-11-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50804.pdf,NSE/FAOP/50804,closed by NSE/FAOP/63590
BANDHANBNK,2020-02-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP43693.pdf,NSE/FAOP/43693,
BANKINDIA,2000-01-01,2019-11-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP42208.pdf,NSE/FAOP/42208,exclusion without prior introduction in coverage
BANKINDIA,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
BATAINDIA,2000-01-01,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65702.pdf,NSE/FAOP/65702,exclusion without prior introduction in coverage
BDL,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
BEL,2015-05-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,
BEML,2015-09-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP30828.pdf,,closed by NSE/FAOP/40801
BERGEPAINT,2000-01-01,2025-04-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67084.pdf,NSE/FAOP/67084,exclusion without prior introduction in coverage
BERGEPAINT,2017-04-28,2025-04-25,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/66757
BHARATFIN,2000-01-01,2019-07-03,circular,https://nsearchives.nseindia.com/content/circulars/FAOP41414.pdf,NSE/FAOP/41414,exclusion without prior introduction in coverage
BLUESTARCO,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
BOSCHLTD,2014-11-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP28174.pdf,,
BRITANNIA,2015-05-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,
BSE,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
BSOFT,2000-01-01,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP41670.pdf,NSE/FAOP/41670,exclusion without prior introduction in coverage
BSOFT,2021-10-29,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,closed by NSE/FAOP/68113
CADILAHC,2015-09-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP30828.pdf,,
CAMS,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
CANFINHOME,2017-04-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/40801
CANFINHOME,2021-08-27,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,closed by NSE/FAOP/65702
CAPF,2017-03-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,
CASTROLIND,2015-05-29,2020-01-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,closed by NSE/FAOP/42713
CASTROLIND,2025-01-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66262.pdf,NSE/FAOP/66262,
CDSL,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
CEATLTD,2015-05-29,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,closed by NSE/FAOP/40801
CENTURYTEX,2000-01-01,2020-08-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP44703.pdf,NSE/FAOP/44703,exclusion without prior introduction in coverage
CESC,2000-01-01,2020-05-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP43853.pdf,NSE/FAOP/43853,exclusion without prior introduction in coverage
CESC,2024-11-29,2025-08-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/68691
CGPOWER,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
CGPOWER,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
CHAMBLFERT,2021-10-29,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,closed by NSE/FAOP/67710
CHENNPETRO,2017-06-30,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP35191.pdf,,closed by NSE/FAOP/40801
CHOLAFIN,2017-04-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,
COCHINSHIP,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
CONCOR,2016-01-01,2023-09-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31484.pdf,,closed by NSE/FAOP/57580
COROMANDEL,2021-06-25,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP48731.pdf,NSE/FAOP/48731,closed by NSE/FAOP/65702
CROMPTON,2021-10-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49456.pdf,NSE/FAOP/49456,
CUB,2021-02-26,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/65702
CUMMINSIND,2016-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31823.pdf,,
CYIENT,2024-11-29,2025-12-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/70954
DALBHARAT,2021-10-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49456.pdf,NSE/FAOP/49456,
DALMIABHA,2017-03-31,2018-11-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,closed by NSE/FAOP/39469
DCBBANK,2016-09-30,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP33302.pdf,,closed by NSE/FAOP/40801
DEEPAKNTR,2000-01-01,2025-05-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67382.pdf,NSE/FAOP/67382,exclusion without prior introduction in coverage
DEEPAKNTR,2021-02-26,2025-05-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/67222
DELHIVERY,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
DELTACORP,2021-10-01,2024-03-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49456.pdf,NSE/FAOP/49456,closed by NSE/FAOP/59971
DHFL,2015-05-29,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,closed by NSE/FAOP/41621
DISHTV,2000-01-01,2020-01-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP42713.pdf,NSE/FAOP/42713,exclusion without prior introduction in coverage
DIXON,2021-08-27,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,
DMART,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
EICHERMOT,2014-09-10,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP27549.pdf,,
ENGINERSIN,2014-11-28,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP28174.pdf,,closed by NSE/FAOP/41670
